timestamp,can_id,signal_name,value,is_attack
0.0000,0x002,steering_angle_deg,0.86,0
0.0000,0x050,brake_pressure_bar,3.06,0
0.0000,0x100,speed_kmph,79.25,0
0.0200,0x002,steering_angle_deg,1.07,0
0.0400,0x002,steering_angle_deg,-0.65,0
0.0600,0x002,steering_angle_deg,0.28,0
0.0800,0x002,steering_angle_deg,0.95,0
0.1000,0x002,steering_angle_deg,0.54,0
0.1000,0x050,brake_pressure_bar,3.51,0
0.1000,0x100,speed_kmph,80.00,0
0.1200,0x002,steering_angle_deg,-0.36,0
0.1400,0x002,steering_angle_deg,1.10,0
0.1600,0x002,steering_angle_deg,-0.03,0
0.1800,0x002,steering_angle_deg,0.12,0
0.2000,0x002,steering_angle_deg,0.06,0
0.2000,0x050,brake_pressure_bar,0.32,0
0.2000,0x100,speed_kmph,80.09,0
0.2200,0x002,steering_angle_deg,2.04,0
0.2400,0x002,steering_angle_deg,0.98,0
0.2600,0x002,steering_angle_deg,1.29,0
0.2800,0x002,steering_angle_deg,2.24,0
0.3000,0x002,steering_angle_deg,1.41,0
0.3000,0x050,brake_pressure_bar,0.03,0
0.3000,0x100,speed_kmph,80.04,0
0.3200,0x002,steering_angle_deg,1.02,0
0.3400,0x002,steering_angle_deg,1.06,0
0.3600,0x002,steering_angle_deg,1.66,0
0.3800,0x002,steering_angle_deg,2.21,0
0.4000,0x002,steering_angle_deg,2.15,0
0.4000,0x050,brake_pressure_bar,2.58,0
0.4000,0x100,speed_kmph,79.31,0
0.4200,0x002,steering_angle_deg,1.26,0
0.4400,0x002,steering_angle_deg,2.87,0
0.4600,0x002,steering_angle_deg,2.99,0
0.4800,0x002,steering_angle_deg,2.18,0
0.5000,0x002,steering_angle_deg,2.46,0
0.5000,0x050,brake_pressure_bar,3.14,0
0.5000,0x100,speed_kmph,79.17,0
0.5200,0x002,steering_angle_deg,2.11,0
0.5400,0x002,steering_angle_deg,3.29,0
0.5600,0x002,steering_angle_deg,1.99,0
0.5800,0x002,steering_angle_deg,1.97,0
0.6000,0x002,steering_angle_deg,3.95,0
0.6000,0x050,brake_pressure_bar,1.10,0
0.6000,0x100,speed_kmph,79.18,0
0.6200,0x002,steering_angle_deg,3.51,0
0.6400,0x002,steering_angle_deg,3.30,0
0.6600,0x002,steering_angle_deg,2.77,0
0.6800,0x002,steering_angle_deg,4.25,0
0.7000,0x002,steering_angle_deg,2.92,0
0.7000,0x050,brake_pressure_bar,1.59,0
0.7000,0x100,speed_kmph,80.64,0
0.7200,0x002,steering_angle_deg,3.55,0
0.7400,0x002,steering_angle_deg,4.19,0
0.7600,0x002,steering_angle_deg,2.89,0
0.7800,0x002,steering_angle_deg,4.76,0
0.8000,0x002,steering_angle_deg,4.71,0
0.8000,0x050,brake_pressure_bar,4.61,0
0.8000,0x100,speed_kmph,80.28,0
0.8200,0x002,steering_angle_deg,3.72,0
0.8400,0x002,steering_angle_deg,5.00,0
0.8600,0x002,steering_angle_deg,4.49,0
0.8800,0x002,steering_angle_deg,3.97,0
0.9000,0x002,steering_angle_deg,3.49,0
