speed_norm,lat_norm,lon_norm,time_sin,time_cos,v_rel_norm,conf_1,conf_2,conf_3,conf_4,conf_5,label_car,label_person,label_truck,label_other,low_conf_flag,glare_flag,crash_prob,risk_label
0.660034,0.593524,0.857992,-0.447756,0.894156,0.200721,0.2906,0.2192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4137,0.8206
0.58047,0.303155,0.391723,0.526096,0.850425,0.277637,0.3926,0.3106,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4158,0.6871
0.926944,0.218384,0.173772,0.511787,0.859112,0.555427,0.252,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.4423,0.6952
0.770946,0.434191,0.235248,-0.726728,-0.686926,0.019202,0.9455,0.9261,0.7796,0.7059,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0132,0.1575
0.472836,0.584298,0.299687,0.783596,-0.62127,0.115306,0.484,0.4534,0.4481,0.3771,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1733,0.5224
0.320537,0.368663,0.562113,-0.040696,0.999172,0.145028,0.5063,0.4947,0.4767,0.4515,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1914,0.5666
0.612133,0.846426,0.326259,0.4516,-0.89222,0.975555,0.2041,0.1802,0.1398,0.1184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8507,0.9133
0.773996,0.396875,0.859695,0.554648,0.832085,0.461218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4578,0.8416
0.262604,0.428134,0.557155,0.627809,-0.778367,0.107847,0.7194,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0902,0.1632
0.283598,0.864529,0.17486,0.671268,-0.741214,0.076518,0.8079,0.8004,0.6999,0.607,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0642,0.1439
0.294511,0.309255,0.818466,0.781483,0.623927,0.069722,0.559,0.4722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1593,0.3941
0.625691,0.584449,0.314056,0.462968,0.886375,0.079731,0.6949,0.518,0.5077,0.4133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0995,0.3218
0.814575,0.513635,0.767496,-0.353535,0.935421,0.410183,0.3621,0.32,0.1585,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.382,0.8931
0.917334,0.545559,0.797051,-0.179151,0.983822,0.297219,0.241,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2518,0.8173
0.349985,0.841069,0.473382,0.420594,-0.907249,0.042789,0.4107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1137,0.5376
0.512928,0.759063,0.837338,-0.141756,0.989902,0.087575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1223,0.3936
0.2155,0.456122,0.259777,0.72849,-0.685056,0.050734,0.83,0.7955,0.7866,0.6624,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0571,0.1687
0.675254,0.35367,0.839422,-0.795061,-0.606529,0.094119,0.923,0.8952,0.8102,0.7312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.1428
0.827148,0.544276,0.641468,0.044895,0.998992,0.237353,0.3808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.427,0.8422
0.311757,0.453535,0.820162,0.647777,-0.76183,0.156355,0.8475,0.6985,0.6117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0548,0.1237
0.72321,0.818,0.371499,0.981177,0.193112,0.87838,0.3571,0.1244,0.1112,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9788,0.9268
0.421099,0.84455,0.169815,0.386221,-0.922406,0.20811,0.5287,0.5055,0.4899,0.3798,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2419,0.535
0.302394,0.388235,0.578797,-0.611544,-0.791211,0.104081,0.8739,0.7744,0.6948,0.6104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0168,0.1923
0.226013,0.546709,0.448163,-0.828807,-0.559535,0.109802,0.879,0.7936,0.7258,0.6911,0.6302,1.0,0.0,0.0,0.0,0.0,0.0,0.0506,0.1433
0.724316,0.521614,0.579071,-0.184317,0.982867,0.409966,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4787,0.7968
0.751171,0.741007,0.210719,0.130521,-0.991446,0.064118,0.9128,0.9115,0.8386,0.7256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0453,0.0755
0.362323,0.23928,0.434886,0.998386,0.056797,0.152956,0.4995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0908,0.4864
0.614903,0.589456,0.577928,0.771639,0.63606,0.124792,0.5742,0.4976,0.4353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0597,0.2954
0.784618,0.70815,0.576666,0.305935,0.952052,0.608821,0.454,0.4176,0.3361,0.1603,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9666,1.0
0.682483,0.480228,0.664028,0.207849,0.978161,0.494191,0.3925,0.2009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4373,0.8039
0.707194,0.476548,0.878801,-0.437939,-0.899005,0.016031,0.7727,0.7375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0157,0.1368
0.507962,0.662333,0.807289,-0.132052,0.991243,0.234922,0.5593,0.5455,0.4503,0.3528,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1709,0.5193
0.19689,0.693331,0.624161,-0.995141,-0.09846,0.048312,0.6902,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0997,0.1899
0.52937,0.477222,0.215415,-0.444013,0.89602,0.012094,0.5654,0.4941,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0763,0.4102
0.575791,0.520322,0.54664,-0.172757,0.984964,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1023,0.3745
0.17161,0.354168,0.70565,0.475759,-0.879576,0.004541,0.7755,0.7068,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0257,0.2165
0.596472,0.315185,0.541791,-0.481693,0.87634,0.434149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3577,0.8581
0.508827,0.302276,0.606279,0.046155,-0.998934,0.661175,0.4839,0.4691,0.4531,0.4208,0.1148,1.0,0.0,0.0,0.0,1.0,0.0,0.6864,0.8822
0.421728,0.705954,0.567286,0.399359,0.916795,0.108389,0.6972,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0429,0.4612
0.658356,0.132184,0.440676,-0.664145,0.747604,0.55113,0.3847,0.2547,0.2095,0.1307,0.1144,1.0,0.0,0.0,0.0,0.0,0.0,0.8007,0.921
0.323203,0.637988,0.518719,-0.686126,0.727482,0.162678,0.3656,0.3239,0.3145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2052,0.5689
0.569585,0.281921,0.830194,-0.459357,-0.888252,0.019265,0.9326,0.8136,0.7861,0.7399,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0496,0.1157
0.613908,0.467125,0.179743,-0.840884,-0.541215,0.05762,0.9417,0.8402,0.8208,0.7728,0.7233,0.0,0.0,1.0,0.0,0.0,0.0,0.0009,0.1056
0.648651,0.520772,0.631841,-0.038007,-0.999277,0.008778,0.9311,0.9198,0.8956,0.743,0.7404,1.0,0.0,0.0,0.0,0.0,0.0,0.0257,0.1236
0.20306,0.187259,0.197098,0.155564,0.987826,0.046948,0.52,0.5182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1135,0.5249
0.791767,0.342009,0.534185,-0.247632,-0.968854,0.043142,0.9074,0.7586,0.7522,0.7496,0.7425,1.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.1186
0.365798,0.183398,0.415737,-0.312985,0.949758,0.239823,0.3607,0.3038,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1531,0.4397
0.348749,0.170742,0.828706,0.395842,-0.918319,0.013885,0.8855,0.7749,0.7103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0339,0.2262
0.320828,0.12696,0.210645,0.89354,-0.448984,0.119322,0.5644,0.3063,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0917,0.4174
0.766887,0.264357,0.585541,0.225322,-0.974284,0.039175,0.8984,0.896,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0728
0.688329,0.126108,0.331924,-0.136713,-0.990611,0.022288,0.9376,0.9141,0.8379,0.7877,0.7286,0.0,0.0,1.0,0.0,0.0,0.0,0.0322,0.1339
0.259729,0.708615,0.719738,0.847874,-0.530198,0.057831,0.895,0.7867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0088,0.1196
0.172571,0.227369,0.662647,-0.796759,-0.604298,0.013163,0.7195,0.71,0.7083,0.6815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0696,0.1203
0.703583,0.188757,0.321878,-0.259313,-0.965793,0.017048,0.8706,0.865,0.8414,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0865
0.735208,0.482557,0.803532,0.33352,-0.942743,0.67903,0.4895,0.4631,0.2837,0.2281,0.1222,0.0,1.0,0.0,0.0,0.0,0.0,0.9324,0.9762
0.525718,0.593898,0.292447,0.215468,-0.976511,0.222651,0.534,0.4348,0.3394,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1226,0.5214
0.161383,0.646877,0.857183,-0.366473,-0.930429,0.135653,0.7917,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0321,0.2357
0.256006,0.308109,0.809242,0.287325,-0.957833,0.055768,0.4227,0.4191,0.4074,0.3563,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2042,0.4979
0.482345,0.627959,0.680142,0.696517,0.71754,0.119117,0.6136,0.5788,0.5704,0.5219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1498,0.3158
0.654442,0.218087,0.589598,-0.41749,-0.908681,0.514483,0.4431,0.2084,0.1418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9438,0.8823
0.275894,0.410323,0.225378,0.520829,-0.853661,0.114479,0.8713,0.7764,0.7226,0.6965,0.6041,1.0,0.0,0.0,0.0,0.0,0.0,0.0766,0.2222
0.49737,0.330261,0.787779,0.094256,0.995548,0.124248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0357,0.3254
0.459545,0.133997,0.770757,-0.672467,-0.740127,0.9072,0.424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9655,1.0
0.448959,0.830256,0.303313,0.575769,0.817612,0.019862,0.5065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0442,0.398
0.80497,0.61289,0.240154,0.667347,0.744747,0.446153,0.3044,0.2705,0.1785,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1674,0.8191
0.664758,0.612432,0.191432,-0.784869,-0.619662,0.032875,0.7992,0.711,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0252,0.0948
0.563846,0.125366,0.471719,0.24936,-0.968411,0.005538,0.8021,0.7606,0.7358,0.7319,0.7134,1.0,0.0,0.0,0.0,0.0,0.0,0.0454,0.0772
0.406932,0.400342,0.614716,0.531989,0.846751,0.065936,0.6724,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.3175
0.256477,0.134672,0.300162,-0.552828,0.833296,0.174042,0.5487,0.4894,0.3853,0.3623,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1149,0.4727
0.360493,0.728211,0.290847,-0.239028,-0.971013,0.044123,0.8961,0.8722,0.6105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0171,0.219
0.254785,0.310308,0.190866,0.526794,-0.849993,0.109701,0.6962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0895,0.222
0.607749,0.789664,0.291003,0.002196,0.999998,0.138905,0.6177,0.5562,0.4675,0.4632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0401,0.4389
0.90499,0.297078,0.290367,0.385894,0.922543,0.236379,0.3866,0.3689,0.2463,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2234,0.6691
0.299133,0.425784,0.371834,-0.992892,-0.119019,0.154824,0.5331,0.3591,0.3496,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1436,0.5059
0.589273,0.478583,0.127069,0.274164,-0.961683,0.019149,0.9103,0.7122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0232,0.1619
0.404914,0.53077,0.695052,0.703268,-0.710925,0.063002,0.515,0.4237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0952,0.4534
